Date,Monthly_Sales,CPI,Gasoline_Price,holiday_type
2015-01-01,3196284.075,233.707,2.123272727272727,No Holiday
2015-02-01,1016975.7,234.722,2.1810652173913043,No Holiday
2015-03-01,12421304.325,236.119,2.4543896103896103,No Holiday
2015-04-01,6215733.675,236.599,2.4551472868217052,No Holiday
2015-05-01,5319968.175,237.805,2.712099173553719,No Holiday
2015-06-01,7722660.51,238.638,2.8042595419847327,No Holiday
2015-07-01,7600847.175,238.654,2.800992957746479,No Holiday
2015-08-01,6101445.7125,238.316,2.6756575342465756,No Holiday
2015-09-01,18365293.53,237.945,2.391632958801498,No Holiday
2015-10-01,7077013.425,237.83799999999997,2.2979371069182393,No Holiday
2015-11-01,17529223.6575,237.336,2.1789117647058824,No Holiday
2015-12-01,15337588.1625,236.525,2.041160583941606,No Holiday
2016-01-01,4607074.188,236.916,1.9763157894736842,No Holiday
2016-02-01,3047609.805,237.111,1.7604531250000002,No Holiday
2016-03-01,8246526.192,238.132,1.9244921875,No Holiday
2016-04-01,8709389.4675,239.26099999999997,2.1076477987421383,No Holiday
2016-05-01,7639680.2775,240.22900000000004,2.2636293706293706,No Holiday
2016-06-01,6017840.37,241.018,2.3719457364341086,No Holiday
2016-07-01,7295106.045,240.628,2.256125,No Holiday
2016-08-01,9388677.261,240.849,2.168993670886076,No Holiday
2016-09-01,16099069.53,241.42799999999997,2.219501754385965,No Holiday
2016-10-01,7907993.0625,241.72900000000004,2.2474634146341463,No Holiday
2016-11-01,19188596.8725,241.353,2.1929532710280375,No Holiday
2016-12-01,19008618.306,241.43199999999996,2.233903536977492,No Holiday
2017-01-01,2503236.285,242.839,2.3539775280898874,No Holiday
2017-02-01,3102140.025,243.603,2.300867469879518,No Holiday
2017-03-01,6907282.965,243.80099999999996,2.325434782608696,No Holiday
2017-04-01,5221768.545,244.524,2.4033988095238095,No Holiday
2017-05-01,7648682.58,244.733,2.3922805429864256,No Holiday
2017-06-01,5362805.61,244.95500000000004,2.3564387755102043,No Holiday
2017-07-01,5173305.705,244.78599999999997,2.28625,No Holiday
2017-08-01,4123197.0405,245.519,2.3716742857142856,No Holiday
2017-09-01,9341107.7715,246.81899999999996,2.6099942693409743,No Holiday
2017-10-01,8043709.455,246.663,2.5087916666666668,No Holiday
2017-11-01,10673976.933,246.669,2.553374316939891,No Holiday
2017-12-01,12924781.335,246.52399999999997,2.4868343195266274,No Holiday
2018-01-01,6521471.1,247.86699999999996,2.55472027972028,No Holiday
2018-02-01,2988149.61,248.991,2.5967884615384618,No Holiday
2018-03-01,8829511.92,249.55399999999997,2.5870295358649793,No Holiday
2018-04-01,5331286.515,250.546,2.7419200000000004,No Holiday
2018-05-01,6573897.33,251.588,2.879929166666667,No Holiday
2018-06-01,7228609.155,251.989,2.8987702127659576,No Holiday
2018-07-01,6723765.6,252.00599999999997,2.849399103139014,No Holiday
2018-08-01,9425677.2,252.146,2.837271028037383,No Holiday
2018-09-01,12922933.2,252.43900000000002,2.8342847682119205,No Holiday
2018-10-01,11617219.68,252.885,2.865561224489796,No Holiday
2018-11-01,17690723.25,252.03799999999998,2.6821776315789476,No Holiday
2018-12-01,12454558.32,251.233,2.4180196078431373,No Holiday
